Position,Track Name,Artist,Streams,URL,Week
159,Money In The Grave (Drake ft. Rick Ross),Drake,5075610,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb,2020-03-20--2020-03-27
160,Futsal Shuffle 2020 - Bonus Track,Lil Uzi Vert,5068849,https://open.spotify.com/track/2fOlBMkWR7lXJfqp5VTbDG,2020-03-20--2020-03-27
161,Starboy,The Weeknd,5068504,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB,2020-03-20--2020-03-27
162,goosebumps,Travis Scott,5052580,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,2020-03-20--2020-03-27
163,Arcoíris,J Balvin,5044774,https://open.spotify.com/track/5zzbORcD0GwLY0wQHP1Xs1,2020-03-20--2020-03-27
164,ON,BTS,4984621,https://open.spotify.com/track/2QyuXBcV1LJ2rq01KhreMF,2020-03-20--2020-03-27
165,Woah,Lil Baby,4983284,https://open.spotify.com/track/02RCbjb9czvQKNGBmEmWob,2020-03-20--2020-03-27
166,Lights Up,Harry Styles,4968598,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb,2020-03-20--2020-03-27
167,The Less I Know The Better,Tame Impala,4925578,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ,2020-03-20--2020-03-27
168,Call Out My Name,The Weeknd,4908287,https://open.spotify.com/track/09mEdoA6zrmBPgTEN5qXmN,2020-03-20--2020-03-27
169,Good as Hell (feat. Ariana Grande),Lizzo,4901888,https://open.spotify.com/track/2rjjNUYONZqC7wSd1i6OFq,2020-03-20--2020-03-27
170,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,4878903,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG,2020-03-20--2020-03-27
171,Eastside (with Halsey & Khalid),benny blanco,4876080,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2020-03-20--2020-03-27
172,Breaking Me,Topic,4868850,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po,2020-03-20--2020-03-27
173,Dancing With A Stranger (with Normani),Sam Smith,4857798,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,2020-03-20--2020-03-27
